2025-07-28T00:00,temp_living_room,Living Room,temp,21.4,21.6
2025-07-28T00:00,power_living_room,Living Room,power,56,21.6
2025-07-28T00:00,temp_bedroom,Bedroom,temp,21.2,21.6
2025-07-28T00:00,power_bedroom,Bedroom,power,62,21.6
2025-07-28T00:00,temp_kitchen,Kitchen,temp,21.8,21.6
2025-07-28T00:00,power_kitchen,Kitchen,power,68,21.6
2025-07-28T01:00,temp_living_room,Living Room,temp,21.1,21.0
2025-07-28T01:00,power_living_room,Living Room,power,52,21.0
2025-07-28T01:00,temp_bedroom,Bedroom,temp,21.2,21.0
2025-07-28T01:00,power_bedroom,Bedroom,power,58,21.0
2025-07-28T01:00,temp_kitchen,Kitchen,temp,21.5,21.0
2025-07-28T01:00,power_kitchen,Kitchen,power,60,21.0
2025-07-28T02:00,temp_living_room,Living Room,temp,21.1,20.2
2025-07-28T02:00,power_living_room,Living Room,power,56,20.2
2025-07-28T02:00,temp_bedroom,Bedroom,temp,21.1,20.2
2025-07-28T02:00,power_bedroom,Bedroom,power,55,20.2
2025-07-28T02:00,temp_kitchen,Kitchen,temp,21.3,20.2
2025-07-28T02:00,power_kitchen,Kitchen,power,63,20.2
2025-07-28T03:00,temp_living_room,Living Room,temp,21.0,19.3
2025-07-28T03:00,power_living_room,Living Room,power,62,19.3
2025-07-28T03:00,temp_bedroom,Bedroom,temp,21.1,19.3
2025-07-28T03:00,power_bedroom,Bedroom,power,56,19.3
2025-07-28T03:00,temp_kitchen,Kitchen,temp,21.1,19.3
2025-07-28T03:00,power_kitchen,Kitchen,power,66,19.3
2025-07-28T04:00,temp_living_room,Living Room,temp,20.9,18.6
2025-07-28T04:00,power_living_room,Living Room,power,64,18.6
2025-07-28T04:00,temp_bedroom,Bedroom,temp,20.9,18.6
2025-07-28T04:00,power_bedroom,Bedroom,power,64,18.6
2025-07-28T04:00,temp_kitchen,Kitchen,temp,20.9,18.6
2025-07-28T04:00,power_kitchen,Kitchen,power,64,18.6
2025-07-28T05:00,temp_living_room,Living Room,temp,20.8,18.2
2025-07-28T05:00,power_living_room,Living Room,power,70,18.2
2025-07-28T05:00,temp_bedroom,Bedroom,temp,20.9,18.2
2025-07-28T05:00,power_bedroom,Bedroom,power,64,18.2
